nome_imagem,expectancia,moda,mediana,amplitude_quadratica,variancia,assimetria,curtose,entropia,rotulo
1.jpg,46.28376311188811,0,20.0,61009.0,2989.5698281466816,0.7212960921717799,-1.02450820648929,3.1772579610328013,0
10.jpg,72.00895979020979,0,34.0,65025.0,6652.907535543838,0.5781730503069139,-1.2679312995932772,3.4556083258098718,0
11.jpg,71.82391826923077,0,31.0,64516.0,6893.535811220592,0.646755297261162,-1.1608869758580322,3.4888911925728707,0
12.jpg,70.70500983391608,0,27.0,64009.0,6728.331386614851,0.6437425214478534,-1.1736144557104728,3.4774685113710535,0
13.jpg,62.61024912587413,0,29.0,64009.0,5636.087877909964,0.7904598354650713,-0.8826518651405384,3.4390258827087243,0
14.jpg,70.8199847027972,0,30.0,65025.0,6436.377614160605,0.5590019915269139,-1.3129629193953758,3.4226963513350537,0
15.jpg,72.93471372377623,0,28.0,62001.0,7060.181871880459,0.6174685363998856,-1.2224029805215175,3.489910709536025,0
16.jpg,73.63947770979021,0,37.0,65025.0,6845.7791145873525,0.569159690950259,-1.2367356523673225,3.4844304304847173,0
17.jpg,64.52838177447552,0,28.0,65025.0,5853.263235121731,0.735597009298046,-1.0025671045560913,3.4586442592102697,0
18.jpg,68.16878824300699,0,29.0,65025.0,6434.496122635666,0.7187641369904941,-1.0206953339988332,3.5039450791178313,0
19.jpg,73.65021306818181,0,33.0,65025.0,7194.7256877824,0.6359394226596522,-1.1798566973259428,3.4971945680715466,0
2.jpg,70.18801901223776,0,29.0,65025.0,6637.675668300338,0.6532164358407844,-1.1550126165182721,3.4764175289743435,0
20.jpg,66.8353638548951,0,34.0,65025.0,5654.358411766649,0.5746284544724736,-1.2395018534888445,3.412208357772576,0
21.jpg,53.91053868006993,0,28.0,65025.0,3935.8838509117463,0.7058714154885384,-1.0022753933516113,3.317424600840655,0
22.jpg,70.25079217657343,0,33.5,65025.0,6259.994659009694,0.5723868976396885,-1.236602492081178,3.4474870478835578,0
23.jpg,75.74409965034965,0,33.0,65025.0,7510.561372528533,0.6019658763586629,-1.2510190322992116,3.4912961317959272,0
24.jpg,66.35907451923077,0,31.0,63001.0,5708.135898313067,0.5998740158977226,-1.2138266713026526,3.4190970298240315,0
25.jpg,61.18935751748252,0,23.0,65025.0,4987.458461912392,0.6156556015441854,-1.2331217551684925,3.3382868114729147,0
26.jpg,67.08255026223776,0,31.0,60516.0,5772.524380821336,0.5922430652216769,-1.199592499442652,3.4227130366072465,0
27.jpg,69.76783763111888,0,29.0,64009.0,6613.458748143216,0.659825233606039,-1.1595053274488565,3.468727198744989,0
28.jpg,61.32973666958042,0,29.0,63504.0,5400.861252968244,0.7979021064463286,-0.8375514442028464,3.4496235252779845,0
29.jpg,65.57236123251748,0,29.0,65025.0,5756.967064988392,0.6535110759565914,-1.1367603160473125,3.433975218931296,0
3.jpg,64.06310096153847,0,29.0,64516.0,5744.566603932989,0.7356907091017739,-0.9774110645559055,3.4516695366915577,0
30.jpg,71.4546820367133,0,28.0,65025.0,6846.407474254232,0.6502287948467542,-1.1455675573294393,3.505361006841133,0
31.jpg,74.94793487762237,0,34.0,65025.0,7036.7034736635915,0.5370262627527856,-1.319459016162323,3.470999846890171,0
32.jpg,70.5316597465035,0,32.0,65025.0,6557.449991978633,0.6101287362081713,-1.242360661837167,3.45678918362588,0
33.jpg,68.30665428321679,0,29.0,65025.0,6093.2445230282065,0.6080832010782653,-1.2034857709489737,3.4559101089035336,0
34.jpg,70.03676791958041,0,30.0,65025.0,6606.596932648061,0.6490405582817406,-1.1712041665597412,3.469966080717513,0
35.jpg,69.15638658216783,0,31.0,65025.0,6307.366905780624,0.6222659373898378,-1.2012631472243642,3.4505216984352383,0
36.jpg,76.5757757867133,0,37.0,64516.0,7208.501797365812,0.5021978821886314,-1.3656349277648412,3.4559150785973594,0
37.jpg,70.36145104895105,0,30.0,64009.0,6869.588103139213,0.7020307931484351,-1.0795639818174168,3.491156728168332,0
38.jpg,72.60014204545455,0,34.0,62500.0,6590.641413878425,0.5389491956560171,-1.2973396821632128,3.4428527964624442,0
39.jpg,70.29488090034965,0,31.0,65025.0,6668.174818637475,0.6579718672847429,-1.1467513499152828,3.4657879762323036,0
4.jpg,69.0303485576923,0,29.0,65025.0,6391.414261438822,0.6420810209573183,-1.186466009261791,3.454860749118047,0
40.jpg,77.29143902972028,0,38.0,65025.0,7342.660556080417,0.5066142534973345,-1.3622216752726344,3.47125372869984,0
41.jpg,66.17206621503496,0,31.0,65025.0,5639.351812579532,0.5823078257147153,-1.2649445495034837,3.397562292558523,0
42.jpg,68.95072115384616,0,30.0,63001.0,6395.568211892524,0.6576797787252464,-1.1406658984137283,3.4604586720569026,0
43.jpg,69.79804960664336,0,27.0,65025.0,6566.697442655756,0.6448410358204091,-1.1731802163810754,3.462313961421076,0
44.jpg,61.79228583916084,0,28.0,65025.0,5546.408668638575,0.8061664678317604,-0.84912264784922,3.439417824090933,0
45.jpg,73.34951376748252,0,28.0,65025.0,7185.688236760957,0.6293159251193196,-1.1987167620264902,3.5061025218904103,0
46.jpg,72.80089051573427,0,36.0,64516.0,6715.27763578915,0.5769284280251029,-1.2187920424506995,3.4823211216072414,0
47.jpg,66.99606643356644,0,31.0,65025.0,5854.020581117965,0.6106717206143466,-1.199554122197684,3.4281531429494922,0
48.jpg,66.37562827797203,0,29.0,65025.0,6192.800855975458,0.7296820272712291,-1.0264366722714693,3.4755659535318224,0
49.jpg,68.32520214160839,0,30.0,65025.0,6477.476220184227,0.728266334868734,-0.994878531722696,3.5163617454732288,0
5.jpg,57.06626966783217,0,26.0,65025.0,4261.16283953742,0.6118199452619721,-1.214044451296067,3.2991786511598513,0
50.jpg,72.84063592657343,0,33.0,64516.0,7040.158606588604,0.6428883207196987,-1.1625348946487561,3.4986891487318066,0
51.jpg,64.29075611888112,0,33.0,65025.0,5285.5949298478645,0.5978925174311122,-1.201183156008613,3.396078590313498,0
52.jpg,54.73410183566433,0,29.0,63001.0,4093.6807732536163,0.7287332299088605,-0.9551910451517327,3.3438090707550843,0
53.jpg,70.6094569493007,0,34.0,65025.0,6356.84684784758,0.5895861203178793,-1.1996462623611799,3.4665650544270807,0
54.jpg,71.6204381555944,0,31.0,63001.0,6747.192717115712,0.616038454541888,-1.223131196555287,3.4627976415953063,0
55.jpg,68.27442089160839,0,33.0,65025.0,6001.797781023899,0.5893925979766936,-1.2248994146450642,3.442386803883301,0
56.jpg,67.29769449300699,0,31.0,62500.0,5833.357127551771,0.6110069269324141,-1.1521655751803668,3.438433158273889,0
57.jpg,71.34151005244755,0,30.0,64009.0,6945.417680324636,0.6657535717272506,-1.1553969414764034,3.4921991686682263,0
58.jpg,72.78206949300699,0,29.0,65025.0,6816.591383042372,0.5562360370150388,-1.3215571365250078,3.4541733924816955,0
